time;open;high;low;close
"2022-09-26 05:00:00";18803.9006328979;20338.4554611365;18553.2973576077;19044.1072723711
"2022-10-03 05:00:00";19044.0678498115;20408.3918398816;19025.2262854468;19446.4261941327
"2022-10-10 05:00:00";19446.4162251338;19889.1462709754;18319.8226296141;19268.0928008619
"2022-10-17 05:00:00";19268.5621023075;19666.9950059677;18770.9700605115;19567.0073980529
"2022-10-24 05:00:00";19567.7695803849;20988.3944704236;19206.3243067081;20635.6037476843
"2022-10-31 05:00:00";20633.6960710953;21446.8860966908;20086.2409033906;20926.4859738215
"2022-11-07 05:00:00";20924.6204840491;21053.2461495293;15682.6928427807;16353.3657171761
"2022-11-14 05:00:00";16352.0285634204;17109.323354055;15872.9416126748;16291.8324676929
"2022-11-21 05:00:00";16291.223799579;16771.4752431789;15599.0471753829;16444.6268345485
"2022-11-28 05:00:00";16440.2220878988;17197.4972534447;16054.5302153408;17130.4859472168
"2022-12-05 05:00:00";17128.8940804496;17378.1533102833;16750.5581344286;17104.1928057162
"2022-12-12 05:00:00";17102.5006494509;18318.530584361;16584.7013982805;16757.9774032466
"2022-12-19 05:00:00";16759.0409268239;17012.9847052964;16398.1362516753;16841.9870522838
"2022-12-26 05:00:00";16842.2493105753;16959.8464760475;16408.4751768261;16625.0805507091
"2023-01-02 05:00:00";16625.5103941178;17091.1444513033;16572.2288497449;17091.1444513033
"2023-01-09 05:00:00";17093.9924981225;21075.1418299576;17093.9924981225;20880.7992021821
"2023-01-16 05:00:00";20882.2238766183;23282.3477215567;20541.544548774;22720.4156286391
"2023-01-23 05:00:00";22721.0886719506;23919.8897614092;22406.0755024251;23774.5659233116
"2023-01-30 05:00:00";23774.6489666425;24167.210232202;22657.5821676256;22955.6660162974
"2023-02-06 05:00:00";22954.0219641729;23367.9592874059;21539.3928305144;21788.2039862606
"2023-02-13 05:00:00";21786.9992632743;25134.1173501961;21460.0885038644;24327.6416722827
